Rank,Attraction
1,Miniatur Wunderland
2,Port of Hamburg
3,Speicherstadt
4,Planten un Blomen
5,Alter Elbtunnel
6,Tierpark Hagenbeck
7,CHOCOVERSUM by HACHEZ
8,St. Michael's Church
9,Schmidt Tivoli
10,Panik City
11,Altona City Hall
12,International Maritime Museum
13,St Nikolai Memorial
14,Kunsthalle Hamburg
15,Treppenviertel Blankenese
16,HafenCity
17,Alster
18,Opolum
19,Rathausmarkt
20,Dialog in the Dark
21,Alster Lakes
22,Museum of Hamburg History
23,Neuengamme Concentration Camp Memorial
24,U-Bootmuseum
25,Hamburger Fischmarkt
26,Harbor Piers
27,Museum für Kunst und Gewerbe
28,Hamburger Dom
29,Volksparkstadion
30,Binnenalster
